FOSL2,DDI2,6.0333
ELF2,POM121,6.0333
ELF1,NPTX1,6.0333
FOSL1,PLEC1,6.0333
CREB3,AFTPH,6.0333
ELK4,AGPAT3,6.0333
RREB1,WDTC1,6.0333
GABPB2,PGM3,6.0333
GABPB2,SCFD1,6.0333
GFI1,PRNP,6.0333
TFDP1,ABTB2,6.0333
MEF2D,LRRC8C,6.0333
NFYC,RSU1,6.0333
CREB1,TLE1,6.0333
GABPA,C3orf68,6.0333
FOSL1,KCNN4,6.0333
FOSL1,IFI16,6.0333
NFKB1,C1orf108,6.0333
GABPB2,XRCC5,6.0333
GABPB2,RAB11B,6.0333
GTF2I,PCIF1,6.0333
EGR3,GABPA,6.0333
PRDM1,SCAP,6.0333
PRDM1,GPC4,6.0333
OLIG2,STMN1,6.0333
RREB1,PTGES3,6.0333
YY1,SEC23B,6.0333
MYB,L3MBTL2,6.0333
GABPA,HSBP1,6.0333
ELK4,LCORL,6.0333
ETS1,ARF6,6.0333
FOSL2,UTY,6.0333
BHLHB2,VPS26A,6.0333
GABPB2,TAF1C,6.0333
OLIG2,LOC401152,6.0333
ELF1,ARHGAP1,6.0333
GABPB2,BTAF1,6.0333
SREBF1,STIP1,6.0333
ELF1,C1orf26,6.0333
ELF2,SERINC1,6.0333
HMGA2,YIF1B,6.0333
CREB1,TRIM33,6.0333
SREBF1,DOCK5,6.0333
GABPB2,UBR4,6.0333
SREBF1,CHM,6.0333
ZIC2,SLC6A6,6.0333
EGR1,ME1,6.0333
ARNTL,KIAA0746,6.0333
NFYC,ATRIP,6.0333
GABPA,TMEM30A,6.0333
FOSL1,C1orf21,6.0333
ELK4,ZNF274,6.0333
GABPB2,ABCD3,6.0333
JUND,RB1,6.0333
TFDP1,UBE2G1,6.0333
ELF1,SLC1A5,6.0333
EGR1,RABEP1,6.0333
ELF2,CCR1,6.0333
YY1,THOC2,6.0333
NFATC1,NINJ1,6.0333
ELK4,DPM2,6.0333
GABPA,DNAJC1,6.0333
GTF2I,NIP30,6.0333
EGR3,ZIC2,6.0333
MYB,RCC2,6.0333
POU2F2,REXO1,6.0333
MYB,PDS5B,6.0333
RREB1,LOC90379,6.0333
